Source_Ja	Target_En	Translation_En_Ours	Human_Score_A	Human_Score_B	
えー、私ベトナム料理の方が好きなんだけどな。	Oh, I actually like Vietnamese food though.	I like Thai food.			
でもジュリーが好きなのはフォーでしょ。	But Julie, you only like pho, right?	But Julie likes it for a form.			
汁の麺類は弁当っていうか、持ち帰りにすると美味しくないよね？	Don't you think a noodle and soup for take out wouldn't taste good?	The meal of the meal doesn’t taste good, right?			
そうだね、じゃあ何がお勧め？	Right, then what do you recommend?	Yes, then what would you recommend?			
今日はパッタイ買ってきた、味見する？	I bought pad-thai today, do you want to try it?	I’m buying it today, do you eat it?			
する、ありがとう。	Yes, thank you.	I will do, thank you.			
美味しいね、私も見てこよ！	This is good, I'll go take a look too.	It’s delicious, I’m looking at it too!			
薬味の匂いが強いのはやめた方がいいよ。	I'd avoid the ones with strong herbal smells.	It is better to stop the strong smell of the drug.			
うちの食堂狭いから、匂いが気になる人もいると思う。	Our cafeteria is small and there are people who would not be happy with the smell.	Our small, so I think some people might be interested.			
オッケー。	Okay.	OK is.			
グリーンカレーと生春巻き買ってきた！	I bought green curry and summer roll.	I bought green curry and spring!			
美味しそう！	That looks good.	It looks delicious!			
2人とも何食べてるの？	What are you two eating?	How many are you eating?			
タイ料理、ビルの目の前の弁当屋台に新しく増えたみたいです。	Thai food, there is a new bento stall in front of the building.	It seems that the food store in the near the building has increased.			
美味しいですよ！	It's good!	It is delicious!			
カロリー考えずいっぱい食べられる細身女子はいいねー。	I'm jealous of skinny girls who can eat what a lot without worrying about the calories.	She is good for she is not much longer in mind.			
それってセクハラとか、何ハラとかわかんないけどタブーワードじゃない？	Isn't that like sexual harassment or some sort of harassment, and it shouldn't be something you should say, right?	I don’t know what sexual harassment is, but it’s not tab all the way down.			
お、容姿について話すのはやめとくか。	Oh, I guess I shouldn't talk about appearances.	Do you stop talking about your appearance?			
そうだよ、最近何かとうるさいから気をつけな！	Yeah, you should be careful as that's something the company is pretty stringent on.	Yes, you have been very careful because you have something hard recently!			
それにしても、うちの社食はなんで主食1品、副菜2品なんてめんどくさいルールになったわけ？	But still, how come our company cafeteria has an annoying rule of only 1 main dish and 2 side dishes?	However, why does our food be very difficult to eat first food and two side dishes?			
バッフェ形式だとケンみたいに食べすぎる人がいて、採算取れなくなったんじゃない？	Because if we have a buffet, people like Ken will eat too much and maybe they aren't able to make a profit?	There are too many people who eat it like Ken and can't be pleased, right?			
勘弁してよー、俺そんなに食べないよ。	Oh please, I don't eat that much.	Oh, no, I don't eat so much.			
みんな知ってるよ、皿に毎回大盛りなの。	We all know that you always put a lot on your plate.	Everyone knows, it’s very much every time.			
腹が減っては仕事はできぬ！	You can't work if you're hungry!	I am not able to work!			
でた、戦国時代か。	There it is, you and your Sengoku period quotes.	And then, the time of the war.			
隣のビルの事務所に転職しようかな。	Maybe I should go work at the office in the building beside from us.	I'm going to change my job to the office in the building next to the building			
噂ですよね、隣のビルの食堂は美味しいって。	They say that the cafeteria is the building next to us is really good.	I hear that the dining room next to the building is delicious.			
そう、職場の環境って大事だよね。	Yeah, the work environment is important.	Yes, the workplace environment is important.			
特に俺みたいな大食いには、食の環境ってとっても大事なわけよ。	Especially for a big eater like me, where the food environment is very important.	Especially for a large meal like me, the environment is very important.			
うちら細身女子は、食べられる量が少ないから余計中身重視なのよ。	Us slim girls can't eat a lot so we're more focused on the content.	Our small girl is little too much to eat so it is too important.			
だから、うちの社食が毎日じゃ、いくらタダでも生き抜いていけないわけ。	So, if we eat at the company cafeteria everyday, we can't survive even if it's free.	So, if our food is every day, we can’t live any kind of free.			
俺はタダより美味い飯はないと思う。	Well, I think there is no better meal than a free meal.	I don't think I’m going to eat better than free.			
って事で、社食とってこよっと。	So, I will go grab some of the company meal.	Then, you can eat company.			
今日はケンさんの嫌いなグリービーンズ盛り盛りのおかずですよ。	They have loads of green peas that you don't like as the side dish today.	I am very pleased with Mr. Ken, but I am very pleased with the beans.			
えー、俺も弁当買いに行かないとかな？	Oh, maybe I have to go buy a bento too?	Oh, do you want me to go buy meals too?			
ケン、昼休み終わっちゃうよー。	Ken, lunch break is almost over.	Ken, it will end up lunch break!			
よお、海瑠、今日はお疲れさん。	Hey, Kyle, good work today.	Hi Kyle, good luck to you today.			
あれ海棠部長、もう帰られたのかと思ってましたが。	Oh, Kiichi, I thought you've left already.	I thought that Kiichi was already back.			
ワークショップの件でまだ何か？	Do you still have something you'd like to ask about the workshop?	Is there anything still in the workshop?			
いや特に、お前と話がしたかっただけ。	Not really, I just wanted to talk to you.	No, I just wanted to talk to you.			
この後まだ仕事か？	Are you still working after this?	Are you still working after this?			
今日は確か...	I believe I have....	I am sure today.			
いえ、打ち合わせが金曜に延期になったんでした。	No, a meeting has been postponed until Friday.	No, the meeting was on Friday.			
今日はこれで終わりですね。	I'm done for the day now.	This is the end today.			
じゃ、一杯付き合えるな。	Then, you can join me for a drink, huh?	So you can get a drink.			
相変わらず強引ですね、部長。	You always push me too much, Kiichi.	He is as strong as always, Mr.			
な、久しぶりだろ？	Oh well, it's been a long time, you know?	It’s been a while, right?			
まあ、断る理由はないですね。	Well, I have no reason to say no.	Well, there is no reason to refuse.			
お前も飲むのは嫌いじゃないだろうに。	You rather like drinking, don't you?	You don’t like to drink either.			
場所と相手によりますよ。	It all depends on where and with whom I drink.	It depends on where and who.			
じゃ、俺はお眼鏡にかなったんだな？	So I passed your test, I guess?	Then you got your glasses, right?			
ええ、喜んでください。	Yeah, you should be proud.	Yes, please be pleased.			
私は結構繊細で、人を選ぶタイプなので。	I'm quite sensitive and particular about people.	I'm quite sensitive and I'm the type to choose people.			
はは、俺相手にそんだけの口がきければ上等だよ、海瑠。	Ha-ha, not bad if you can talk to me like that, Kyle!	If you want to talk to me, it’s good, Kyle.			
入社の時からあなたみたいな疲れ知らずの上司に連れ回されましたからね。	I had been taken around by a tireless boss like you since I started working.	He took me to a unknown boss like you from the time you started working.			
誰でもたくましくなります。	Anybody would be tough.	Everyone will be very hard.			
お前みたいに反抗的だが真面目な新入り仕込むのは楽しかった。	I enjoyed training disobedient but earnest newbie like you.	It was a bit as you were, but it was fun to get in a serious new.			
そうですね、８年の長きに亘って。	You did, for eight long years.	Yes, it has been for a long 8 years.			
お陰様で、今ではどんなお偉方も平気ですよ、かなりクセのある方でも。	Thanks to you, I can deal with any important people now, even pretty difficult ones.	Thanks to you, any great person now is okay.			
じゃ、今のお前があるのは俺のお陰って事だな。	That means you owe what you are today to me, right?	Well, that's what you have now is because of me.			
部長、あなたのそのプラス思考には敵いませんよ。	No one can think as positive as you do, Kiichi.	Mr. Ko, your plus thinking is not an target.			
ああ、お前に言いたい事がある。	Well, I have something to say, Kyle.	Oh, I have something to say to you.			
お前が経営企画に引っ張られた時、あそこがエリートコースだから営業抜けさせたんだ。	When you got promoted to the corporate planning, I let you leave the sales because you'd get into the fast lane there.	When you was reduced to the management project, that was because it was an average course.			
４年で異動希望、それもマーケに出すなら、手放すんじゃなかった。	If I knew that you were going to request a transfer in four years to marketing too, I wouldn't have let you go.	If you want to move in four years, it was not good to lose.			
あなたに育てていただいたので、今独り立ちできてるんです。	You've raised me so that I can stand on my own now.	I have grown you, so I am now alone.			
すぐCX企画部の評価を上げて見せますよ。	I'll show you that I'm capable of building up a reputation for CX promotion soon.	I will get the assessment of the CX project department right away.			
あー、わかったよ、どんだけ巧くやるんだか見ててやるよ。	Ah, okay, I'll see how artfully you do that.	Oh, I know, I’m going to see how much you’re going to do.			
はは、楽しんでいただけると思います。	Ha Ha, I think you'll enjoy it.	I think you will enjoy it.			
とりあえず、昔行ってた蕎麦屋でいいだろ？	Anyway, you don't mind the soba place we used to go, do you?	Well, you should be a restaurant that you used to go to before, right?			
この時期は美味い日本酒入れてるぞ。	They have fine sake this time of the year.	This time, we’re going to get delicious wine.			
いいですね。	Sounds good.	Well well well.			
オフィス戻って鞄取ってきますね。	I'll go back to my office to get my bag.	I'll get my bag back to the office.			
海棠部長は、先に行っててくださって構いませんよ。	It's okay if you go ahead, Kiichi.	Kiichi doesn't care if you're going to go ahead.			
了解 。	All right.	Okay.			
遅けりゃ、先にやってるぞー 。	If you take too long, I'd start by myself, alright?	If you are late, you’re going to do it first.			
ご随意に。	As you please.	Thank you.			
届いた履歴書とカバーレター、印刷しておいたけど。	Well I've printed out the resumes and cover letters we received.	I printed the history and cover letter.			
わぁ、こんなに沢山。	Wow that's a lot.	Oh, so much.			
これで100以上はあるよ。	There are over a hundred here.	This will be more than 100.			
どのくらい掲載されてた？	How long was the posting up for?	How much was it published?			
二十日くらい出てたな。	It was up for around twenty days.	It was about 20 days.			
で、今、見たい？	So do you want to review them now?	So, do you want to see it now?			
うん、見ようか。	Yes, let's do it.	Yes, let’s see.			
で、求人の応募を審査するコツって何？	So what's the tip in screening job applications?	So what is the tip to review the application for the job?			
あぁ、一通ずつ全部見る時間がないからさ。	Well, we don't have time to review every single one of them.	Well, I don't have time to see it all one by one.			
僕は通常カバーレターをざっと見るよ。	I typically do a quick review of their cover letter.	I usually look at the cover letter.			
カバーレターが良かったら、その履歴書を見るね。	If their cover letter is interesting then I will look at their resume.	If the cover letter is good, look at the history.			
もしそれが良さそうだったら、候補者リストの山に入れる。	If that seems okay then I'll put them in the shortlist pile.	If that is good, we will put it in the mountains of candidates.			
やってみるよ。	I'll give it a try.	I will try it.			
見てみよ。	Let's see.	Look at it.			
わぁ、この人いいね。	Oh this person is interesting.	Oh, this guy is good.			
彼は、輸送会社で物流コーディネーターとして働いてたって。	He used to work at a shipping company as a logistics coordinator.	He worked as a logistics coordinator for a shipping company.			
どれどれ。	Let's see.	Let's see.			
彼の文章力はちょっと疑問だけどな。	His writing skills are a bit questionable though.	His writing is a bit of question.			
カバーレターに変な文章があるんだよ。	There's some odd looking sentences in his cover letter.	There is a strange writing to the cover letter.			
しかも僕より年上だ。	He's older than me too.	And it's more elderly than me.			
それって気まずくならない？	That could make things awkward right?	Is that not hard to be able to clean?			
それはほんと、君次第だよ。	That's up to you really.	It really depends on you.			
僕は個人的には気にしないけど。	I personally don't mind.	I personally don’t care about it.			
だって、イレーンは僕よりだいぶ年上だし。	I mean Elaine is a lot older than me.	I mean, I'm more old than me.			
いいとこ突くね。	Good point.	It is a good place.			
考えてみるよ。	I'll think about it.	I will think about it.			
大概は直感でしょ。	A lot of it is about gut feeling.	It is probably very intuitive.			
実際その人に一回会ったら、大抵その人が採用したい人かそうじゃないかってわかるよ。	Once you actually meet the person, you can usually tell if this is the person you want to hire or not.	In fact, if you meet the person, you know that it is usually the person who wants to hire it.			
彼らに会うのが待ちきれないよ！	I can't wait to meet them!	I can't wait to meet them!			
まぁ、まず君の候補者リストに入らないといけないんだけどね！	Well, they will have to get on your shortlist first though!	Well, I need to go on your candidates first!			
もしもし、Kファブリックのリッキー ライオンと申します。	Hi, this is Ricky Lyon from K fabrics.	If you are a  please, I am a  please, I am a  please.			
アヤナ ウィリアムソンさんはいらっしゃいますか？	May I please speak to Ayana Williamson?	Do you see Mr. Ayana Williamson?			
はい、私ですが。	This is she.	Yes, it is me.			
今日店舗でオーダーされた品についてお電話させて頂いています。	I am calling about the order you placed at our store earlier today.	I am calling you for the goods ordered at the store today.			
お客様が希望されていた布がバックオーダーになっていると倉庫から連絡が入りました。	I just got a word from our warehouse that the fabric you want is actually back-ordered.	The customer was contacted from the warehouse that was ordered.			
バックオーダーとはどういう意味ですか？	What does back order mean?	What does the back- orders mean?			
品物が手に入らないという事ですか？	Am I not getting it at all?	Do you think you can get the goods?			
ええっと、バックオーダーとは一時的に品切れになってしまい、オーダーが遅れてしまう事です。	Well, back order means the item is temporarily out of order causing a delay on your order.	Well, the order is temporary and the order will be delayed.			
でも、店舗の従業員はちゃんと私のオーダーを取ってくれましたよ。	But the store associate I saw earlier placed an order for me.	But the store employees took my order well.			
希望されていた品はとても需要が高いものでして。	The particular pattern you want is in high demand.	The goods that were expected are very high.			
うちの店舗と倉庫の間できちんとコミュニケーションが取れてなかったようです。	And obviously there was miscommunication between our store and the warehouse.	It seems that we can't communicate well between our store and the warehouse.			
ご迷惑をお掛けしまして、本当に申し訳ございません。	I am sincerely sorry for the disappointment.	I am really sorry for the inconvenience.			
あーあ、あの布が手に入るのをとても楽しみにしていたんですよ。	Oh no, I was really looking forward to getting the fabric.	Oh, I was looking forward to getting that college.			
他のお店もすべて品切れだったんです。	None of the other stores had it in stock either.	The other store was all over.			
在庫が入るのはいつかわかりますか？	Do you happen to know when it will be in stock?	Do you know what the stock will be in?			
倉庫のマネージャー曰く、あと一か月は入らないそうです。	The warehouse manager believes it won't be another month or so.	The manager said he doesn't have any more than a month.			
その間、私の方でも別の卸売業者から品を購入できないかと全力を尽くしています。	Meanwhile, I am doing my best to source it from a different vendor for you.	In the meantime, I am doing my best to buy goods from another peter.			
でもなかなか見つからないもので。	But I do not have much luck.	But it's pretty hard to find.			
先ほど申し上げたように、人気商品の為ほとんどの店は品切れ状態のようです。	As I mentioned already, most places have run out of them due to its popularity.	As I said before, most stores seem to be in a best way to be in a while.			
一か月も待てません。	Well, I can not wait another month.	I can't wait a month.			
私が希望している品と似た感じのはありますか？	Do you have any pattern that is very similar to the one I want?	Do you feel similar to what I have been looking for?			
今手元で見本を開いているところです。	I am actually opening up our sample book right now.	I'm just open a review in my hand.			
ターコイズが背景のペイズリー柄のものですよね？	You wanted the paisley one with turquoise background, right?	The thing that will be the one in the background, right?			
はい、柄は緑、白、紺色です。	Yes, the patterns are green, white, and navy blue.	Yes, the color is green, white, and blue.			
ほぼ同じの物が一つありますよ。	I have one that's almost identical.	There is almost one of the same ones.			
違うのは背景の色のみです。	The only difference is the background color.	The different color is only the color of the background.			
ティール色ですが、柄の色は全く同じです。	It's teal, but the colors of the patterns are exactly the same.	It is green, but the color is the same.			
じゃあそれをお願いします。	Well, I would like to go ahead and get it then.	So please do it.			
残念な事に、うちの店舗には在庫がありません。	Unfortunately, we don't have it in stock at our store right now.	Unfortunately, our store is not stock.			
ですが、スライデルにある店舗にはあるそうです。	But it seems that the store in the town, Slidell, has some.	However, there is a store in S within the S within the building.			
こちらへ配達して貰う事も、お客様の方で取りに行かれるのも可能です。	I can have it delivered here or you can go pick it up yourself.	You can also be able to deliver it to the customer.			
ご都合の良い方をどうぞ。	Whichever works better for you.	Please take a good one.			
自分で運転して取りに行きます。	I think I am going to drive up there to pick it up.	I will drive myself and take it.			
本当に申し訳ございませんでした。	I apologize again.	I'm really sorry about that.			
またのお越しをお待ちしております。	I hope you will consider us again for your future shopping.	We are waiting for you again.			
ジャック、前期は本当に良い仕事をしたわね。	Jack, you really did an amazing job last quarter.	Jack, you really did a good job this time.			
いやあ照れます。	You flatter me.	No, I am betting.			
めちゃくちゃ忙しかったですけど、なんとか終わらせました。	It was hectic, but we made it through.	I was very busy, but I helped it to finish it somehow.			
本当に大変だったわね、でもよくやったわ！	Yes it was, but you did it, and you did it well.	It was hard, but it was good!			
ありがとうございます。	Thank you for saying so.	Thank you.			
あなたは我が社のために売り上げを増やして大きな利益を出したわね。	You brought up sales and made a huge profit for the company.	You have made more sales and big profits for our company.			
いやあ、あなたや部の人たちのサポートがなかったらそうはいかなかったと思います。	Well, actually if it wouldn't have had the support from you and the entire department, I cold have never done it.	Well, I think it would not be great if you and the staff don't have any support.			
人がよすぎるわね、ジャック	You're too kind Jack.	It’s too much, Jack.			
そういえば、良いニュースがあるのよ。	Actually, I have some really good news.	For example, there is a good news.			
信じられないと思うけど。	You aren't going to believe this.	I think it is unbelievable.			
何ですか？	What?	What is it?			
どうしたんですか？	What's going on?	What happened?			
取締役会があなたにボーナスを出すことに決めたのよ！	The board has decided to give you a bonus!	The board decided to give you a bonus!			
本当ですか！	What!?	Is it true!			
わあ、嬉しいです、キム。	Oh that's great Kim.	Oh, I am glad to hear that, Mr.			
いくらなんですか？	How much?	How much is it?			
3,000ドルよ。	3,000 dollars.	$ lunch.			
うわあ、多すぎますよ、キム。	Oh my god, that's too much Kim.	Oh, it's too much, it's Mr. sometime.			
ありがとうございます。	Thank you so much.	Thank you.			
すごく嬉しいです。	This is amazing.	I am very pleased.			
本当にあなたが頑張ったからよ、ジャック。	Well, you've certainly earned it Jack!	You really did it, Jack.			
今日は金曜日だし、みんなで出かけてお祝いしようかと思ってたんだけど。	Say, it is Friday, I was thinking that all of us could go out and celebrate.	It’s Friday, and I was planning to celebrate it all together.			
いいですね。	Oh yeah, for sure.	Well well well.			
こんにちは、Ａ社のバッグを取りに来ました。	Hi there, I'm picking up some bags for Company A.	Hello, I'm here to get a bag of Company A.			
お名前を伺えますか？	Can I get your name please?	Can you tell me your name?			
サム リーです。	It's Sam Lee.	Hi this is Sam Lee.			
注文番号も伺っていいですか？	Can I also get your order number?	Can I ask you the order number?			
はい、47238です。	Yes, it is 47238.	Yes, it is a going to be a hot water.			
はい、バッグはご用意できております。	Okay, yes we have the bags ready for you.	Yes, the bag is made.			
あとはグレッグがご対応させていただきます。	I'll have Greg take care of the rest for you.	Then, I will take care of it.			
こんにちは、サムさんですね。	Hi there, you must be Sam.	Hi Sam.			
グレッグと申します。	I'm Greg.	My name is  if you say that it is Mr.			
こんにちは、私はＡ社のサム リーと申します。	Hi there I'm Sam Lee from Company A.	Hi, I am Sam Lee from Company A.			
名前は存じてましたが、お顔を拝見できてよかったです。	It's nice to put a face to the name.	I know the name, but I am glad to see you on your face.			
バッグはすぐに積めるように搬入デッキに用意してあります。	So I have your bags ready for loading at the loading bay.	We have the bag ready to load it in the early.			
向かう前にこの請求書にサインをお願いします。	Before we head out, can you just sign this invoice?	Please sign this bill before you head over.			
いいですよ。	Yes I can.	Well is.			
はい、では向かいましょう。	Okay, let's head out now.	Yes, let's head over.			
バッグはかなり重いのでそちらの車に積むのに小型フォークリフトを使いますね。	So the bags are pretty heavy so I will use a small forklift to load it into your car.	The bag is quite heavy, so you can use a small fork how to load it in your car.			
どちらの車ですか？	Which car is yours?	Which car is it?			
あそこの黒いSUVです。	It's the black SUV over there.	It is a black myself.			
わかりました、トランクを開けていただけますか？	Alright, can you open the trunk?	Okay, can you open the what?			
フォークリフトでバッグを運んで、直接積みます。	I'll bring the bags over with the forklift and directly load it in.	We'll bring the bag with a fork how to pick it up directly.			
もちろんです。	Sure.	of course.			
どうもありがとうございます。	Thank you very much.	Thank you very much.			
もしもし。	Hello.	If if if.			
こんにちは、シアトル事務所のサム リーです。	Hi, this is Sam Lee from the Seattle office.	Hi, I'm Sam Lee from the Seattle office.			
あら、こんにちは。	Oh, hello there.	Oh hello.			
リスクアセスメントレポートを取り寄せてもらえないかと思って。	I was wondering if you can get me a risk assessment report.	I was wondering if you can get the risk assessment report.			
もちろんです。	Of course.	of course.			
その会社の詳細を送ってもらえますか？	Can you send me the details of the company?	Can you send me the details of the company?			
はい、送れます。	Yes I can.	Yes, I can send it.			
どういった情報がそちらで必要か教えてください。	Can you tell me what information I need to give you?	Please tell me what information you need.			
レポートを取り寄せるためには、会社名、住所、電話番号、そしてウェブサイトが必要です。	So in order to get the report, I'll need the company name, address, phone number, and website	To get the report, we need company name, address, and website.			
それだけですか？	Will that be it?	Is that all?			
はい、これで全部です。	Yes, that will be it.	Yes, this is all.			
わかりました、今送りますね。	Okay, I will send that over right now.	I know, I will send it now.			
レポートを取り寄せるのにどのくらいの時間がかかりますか？	How long will it take to get the report?	How long does it take to get a report?			
２、３日かかると思います。	I think it will take a few days.	It will take a couple of days.			
レポートが届いたらご連絡します。	I'll let you know once I get the report.	I will contact you when I get the report.			
それはよかった、どうもありがとうございます。	Great, thank you very much.	That's great, thank you very much.			
連絡をお待ちしています。	I'll look forward to hearing from you.	We are waiting for your contact.			
ではよろしくお願いします。	Have a good one.	Please please.			
ではまた。	Bye now.	and again.			
おはよう、健さん。	Good morning, Mr. Ken.	Good Morning Mr. Ken.			
おはよう、スティーブ。	Good morning, Steve.	Good Morning, steve.			
君をデスクに案内したあと、オフィスのツアーをしようか。	Let me take you to your work desk and then I will give you a tour of the office.	After we guide you to the desk, let’s tour of the office.			
スティーブ、ここが君のデスクで、仕事は毎朝8時から5時までだよ。	Here is your desk and work starts from 8am to 5pm every day, Steve.	Hey, this is your desk and your work is from 8 o'clock in the morning.			
わあ、とても素敵ですね！	Oh, very nice!	Wow, that's nice!			
荷物はここに置いて、行こうか。	Drop your belongings here, and let’s go!	Where's your package here and let's go.			
はい、準備できました、健さん。	OK, I am ready Mr. Ken.	Yes, I'm ready, Mr. Ken.			
あそこにいるのが上級金融アナリストのスージーだ。	That is Suzy over there and is our senior financial analyst.	It's Susie, the senior financial, which is where he is.			
今後彼女と一緒に仕事するようになるから挨拶しにいこう。	You will be working with her in the future so let’s go say hi to her.	Let’s say welcome because she will work with her next time.			
スージー、うちの部に新しく加わったスティーブだ。	Suzy, this is Steve, our department’s new addition.	Susie, this is steve where we have new apply to our department.			
ようこそ、スティーブ。	Welcome on board, Steve.	Welcome to you, steve.			
はじめまして！	I am very glad to see you!	Hi, welcome to you!			
ここで働くことができてとても光栄です。	I am very happy to be here.	It is a great honor to be able to work here.			
助けが必要な時は知らせてね。	Just let me know whenever you need me.	Let me know if you need help.			
喜んでアドバイスするから。	I am glad to be of any assistance.	I am glad to give you advice.			
何がどこにあるか分かるよう、スティーブにオフィスのツアーをしてるんだ。	I am giving Steve a tour of the office so that he knows his way around.	I'm on a tour of the office so that you can find out where it is.			
そう、あ、健、自動販売機がどこにあるか教えてあげて。	Ok, oh and please do teach him where the vending machines are located Ken.	Yeah, Ken, tell me where the vending machine is.			
じゃあまた、スティーブ！	See you later, Steve!	And again, steve!			
はい、スージーさん。	OK, Suzy.	Yes, Mr. Susie.			
廊下の突き当りが製造エリアだ。	At the end of the hallway is the Production area.	The to the end of the corridor is the manufacturing area.			
うちの会社の70パーセントの商品がこの施設で作られていて、それ以外は全て海外のもっと小さな製造施設で製造しているんだ。	Seventy percent of our merchandise is produced right here in this facility and we also have one smaller manufacturing facility overseas that handles the rest of the production.	Our company's seventy percent of products are made in this facility, and all else are made in a cheaper manufacturing facility than that is made from abroad.			
君は製造マネージャーのジョンとやりとりすることになるよ。	You will be dealing with John, the Production manager.	You will be able to deal with the manufacturing manager John.			
今彼はミーティング中だから、後から紹介するよ。	I will introduce you to him later because he is in a meeting at the moment.	He's in a meeting so I'll introduce you to them later.			
はい、その方の名前覚えておきます。	Right, I need to remember that name.	Yes, I will remember the name of that one.			
面接で言ったように、毎日の仕事の一環として、君には銀行とやりとりしてうちの資金の記録をとってもらいたいんだ。	Like I said during the interview, one of your daily jobs is to deal with the bank to keep track of our financial resources.	As I said in the interview, I want you to communicate with the banks and get the data of our funds.			
毎朝インターネットで会社のアカウントにアクセスして、金融データを確認してほしい。	Every morning, you will access our account through the Internet to get financial information.	You can access the company's account every morning and check the financial data.			
ログインとパスワードが必要になりますよね？	I should have a login and password, right?	You need a log in and password, right?			
ああ、僕から銀行に電話して君が新しい従業員だと伝えておくよ。	Yes, I will call our bank and inform them that you are our new employee.	Oh, I will call the bank and tell you that you are a new employee.			
次の仕事は海外に電話して必要な情報を得ることだ。	Your next task is to call overseas to get other necessary information.	The next job is to call abroad and get the information you need.			
海外オフィスからどういった情報が必要なんですか？	What kind of data do I need to get from our people overseas?	What kind of information do you need from the overseas office?			
彼らの現在と未来のプロジェクトの金融データだよ。	You will need financial data about their current and future projects.	It's the financial data of their current and future projects.			
僕が提供すべき情報はありますか？	Do they need any information from me?	Do you have any information I should provide?			
ああ、君が彼らと一緒に予算を決めないといけないから、その情報をファックスかメールで送って、話をする必要がある場合は出社してすぐに電話しないといけない。	Yes, you need to work with them on their budgets so you can fax or e-mail them the information and if you need to talk to them, call them as soon as you get in.	Oh, you need to decide the budget with them, so if you need to send that information or email and call them immediately.			
向こうは8時間進んでるから。	Remember that they are eight hours ahead of us.	They are still 8 hours.			
君と僕が毎週の終わりに見直しできるように、各海外プロジェクトに関するファイルを作ってくれるかな。	Make sure that you create a file for each overseas project so you and I can review them at the end of every week.	Can you create a file for each abroad to review the end of the week?			
初めのうちは、僕と一緒にもっと頻繁に見直してもらえますか？	In the beginning, can you review the files with me more often?	Can you review it more often with me at the beginning?			
仕事を正しくやっているかを確認したいので。	I just want to make sure that I do my job correctly.	I want to check if you are doing the job right.			
いいとも、質問があればいつでもどうぞ。	Yes, come see me whenever you have questions.	If you have any questions, please go anytime.			
会社辞めちゃうなんて、信じられない。	I can't believe that you're leaving us.	I can't believe you will leave the company.			
そう、ここに君がいないと変な感じになるだろうね。	Yeah, it will be very weird without you here.	Yeah, it will be a bit odd if you are not here.			
私も、こんなに早くこうなるとは思ってなかったわ。	I didn't expect that this will happen so soon.	I didn’t think this will happen so quickly.			
でも、君の人生だからね。	Well, it's your life.	But it is your life.			
やってみたらいいわよ。	You should go for it.	You should try it.			
そうよね？	Why not?	Yes is?			
正直、僕だったら君のやることはできないと思うな。	Honestly, I don't think I could do what you are doing.	To be honest, I don't think I can do it if I'm in your mind			
外国に引っ越すっていう意味？	You mean moving to a different country?	Do you mean you will move to abroad?			
もちろんそれもそうだけど。	Of course there's that.	Of course, that is so.			
自分の本当の夢を追うためにこんな大企業を去るってこと。	I mean leaving this big company to pursue your real dream.	It is that you leave such a large company to follow your true feelings.			
そうね、私もこのことは夫とたくさん話し合わなければならなかったわ。	I know, I had to argue a lot with my husband about this.	Yes, I had to talk a lot of this with my husband.			
ねえ、スペシャル・カクテルはもう飲んだ？	Hey, did you try the special cocktail?	Hey, have you already drank a special else?			
あなたのために、特別に注文してあげたわよ。	I ordered it just for you.	I ordered it especially for you.			
私のためにパーティーを計画してくれて、ありがとう。	Thank you for organizing this party for me.	Thank you for planning the party for me.			
君のためなら当然だよ。	You totally deserve this.	It is natural for you.			
どうせみんな、パーティーは大好きだしね。	We love parties anyway.	Everyone likes the party.			
職場でできるときは、特にね。	Especially when we can have it right where we work.	Especially when you can work.			
私みんなの分もカクテルもらってきてあげる。	Let me go and grab some cocktails for you guys.	I will get everyone's tea and get a is a feeling of all of			
何か食べ物もほしい？	Do you want something to eat, too?	Do you want something to eat?			
私そんなにおなか空いていない。	I'm not that hungry.	I am not so hungry.			
えー、何かきっとほしくなるわよ、そうしないと今夜飲めないわよ。	Oh, trust me, you will need something otherwise you can't drink tonight.	Oh, I’m sure you’ll want something, I’ll have to drink tonight.			
分かった、じゃああなたが好きなのなんでもいいからお願い。	Alright, just bring me anything you like.	I know, then any of you like.			
すぐ戻るね！	I will be right back!	I will be right back!			
新しい仕事は、楽しみ？	Are you excited about your new job?	Are you looking forward to your new work?			
よく分かんない。	I'm not sure.	I don’t know well.			
いいことも悪いこともありそうな気がして。	I think there will be some good points and bad.	I think it’s good or bad.			
そうだね、でも本当、よかったじゃない。	Yeah, I'm really happy for you though.	Yes, but it was really good.			
ここで働いているから何不自由ないと、周りには思われているけれど、実際はそうじゃないからね。	People think that we have everything just because we work here, but you know that's not true.	If you don’t be free, you’re not sure, but it’s not so.			
ありがとう、そう言ってくれて。	Thanks for saying that.	Thank you, I said that.			
ただ、これからもときどき俺たちに近況報告するのは忘れないでね。	Just don't forget to let us know how you're doing now and then.	But don't forget to report it to us in the future.			
幸いインターネットがあるから、ね。	Thank goodness we have internet, right?	Fortunately, there is the internet, so.			
うん、インターネットがあれば、世界は狭いから。	Yes, it's a small world with internet.	Yes, if you have the internet, the world is small.			
ぜひ遊びに来てね、私がインドにいるうちに。	You should come and visit me while I'm in India.	Come to come to visit me, and I’m in in in in in in			
ぜひ行きたいよ。	I would love to visit.	I want to go.			
私もその旅行、一緒に行っていい？	Can I join for that trip, too?	I'm on that trip and can I go with you?			
はい、食べ物と飲み物よ。	Here's your food and drinks.	Yes, it is food and drinks.			
ありがとう。	Thanks so much.	thank you.			
おいしそう。	This looks amazing.	It looks delicious.			
